Location,Latitude,Longitude,Context
Vatican City,41.903411,12.4528527,The number of messages I’ve sent about this place –the third least populous nation on Earth after Vatican City and Nauru – over the past year is probably nearing the 50 mark.
Nauru,-0.5252306,166.9324426,The number of messages I’ve sent about this place –the third least populous nation on Earth after Vatican City and Nauru – over the past year is probably nearing the 50 mark.
New Zealand,-41.5000831,172.8344077,"Though based in New Zealand, McQuarrie is married to a Tuvaluan and has connections with the Tuvaluan community in Auckland."
Auckland,-36.852095,174.7631803,"Though based in New Zealand, McQuarrie is married to a Tuvaluan and has connections with the Tuvaluan community in Auckland."
